region,correspondenceCode,centerLong,centerLat,zoom
National Capital Region (NCR),130000000,121.0316163,14.55764204,0.27
Cordillera Administrative Region (CAR),140000000,121.1034622,17.3949377,1.5
Region I (Ilocos Region),010000000,120.2808909,17.26414918,2
Region II (Cagayan Valley),020000000,121.6458306,18.2867974,2.7
Region III (Central Luzon),030000000,121.0024854,15.4096929,1.5
Region IV-A (CALABARZON),040000000,121.6018478,14.1508414,1.5
MIMAROPA Region,170000000,120.009853,10.9260844,4
Region V (Bicol Region),050000000,123.2601108,13.1268593,1.7
Region VI (Western Visayas),060000000,122.1982308,11.2319516,1.7
Negros Island Region (NIR),,123.155553,10.0024656,1.25
Region VII (Central Visayas),070000000,123.8455663,10.4084547,1.25
Region VIII (Eastern Visayas),080000000,124.887484,11.2762457,1.5
Region IX (Zamboanga Peninsula),090000000,122.7593572,7.7139385,1.5
Region X (Northern Mindanao),100000000,124.3505752,8.1516593,1.5
Region XI (Davao Region),110000000,125.7827187,6.6773599,1.5
Region XII (SOCCSKSARGEN),120000000,124.7474509,6.6227618,1.2
Region XIII (Caraga),160000000,125.786069,9.1866308,1.5
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),150000000,122.2224167,6.4255616,3.7